Product,Number of results in Yarrowia Database,groups,Number of results,%,product,species,titer,titer log(10),titer ln,titer log2
,,,,23.85,Lipids,yarrowia,4.17,0.620136055,1.427916036,2.06004738366994
,,,,31.5,Lipids,yarrowia,3.2,0.505149978,1.16315081,1.67807190511264
,,,,33.4,Lipids,yarrowia,0.375,-0.425968732,-0.980829253,-1.41503749927884
,,,,25.1,Lipids,yarrowia,2.4,0.380211242,0.875468737,1.26303440583379
,,,,67,Lipids,yarrowia,1.43,0.155336037,0.357674444,0.516015147003665
,,,,32.9,Lipids,yarrowia,0.145,-0.838631998,-1.931021537,-2.78587519464715
,,,,80.8,Lipids,yarrowia,0.105,-0.978810701,-2.253794929,-3.25153876699597
,,,,28.7,Lipids,yarrowia,5.74,0.758911892,1.74745921,2.52105073690096
,,,,28.1,Lipids,yarrowia,4.42,0.645422269,1.486139696,2.14404636961671
,,,,56.4,Lipids,yarrowia,4.02,0.604226053,1.391281903,2.0071955014042
,,,,88.14,Lipids,yarrowia,3.23,0.509202522,1.172482137,1.6915341649192
,,,,13.8,Lipids,yarrowia,3.46,0.539076099,1.241268589,1.790772037862
,,,,20.8,Lipids,yarrowia,3.61,0.557507202,1.283707772,1.85199883711245
,,,,9,Lipids,yarrowia,3.97,0.598790507,1.378766095,1.98913900736823
,,,,22.7,Lipids,yarrowia,2.83,0.451786436,1.040276712,1.50080205305716
,,,,23,Lipids,yarrowia,3.51,0.545307116,1.255616037,1.81147103052984
,,,,45.6,Lipids,yarrowia,3.51,0.545307116,1.255616037,1.81147103052984
,,,,20.9,Lipids,yarrowia,3.2,0.505149978,1.16315081,1.67807190511264
,,,,40.7,Lipids,yarrowia,5.97,0.775974331,1.786746927,2.57773093149008
,,,,55.3,Lipids,yarrowia,2.73,0.436162647,1.004301609,1.44890095114513
,,,,40.7,Lipids,yarrowia,2.74,0.437750563,1.00795792,1.4541758931858
,,,,100.37,Lipids,yarrowia,2.23,0.348304863,0.802001585,1.15704371014558
,,,,1.02,Lipids,yarrowia,4.28,0.631443769,1.45395301,2.09761079662642
,,,,0.0155,Lipids,yarrowia,3.7,0.568201724,1.30833282,1.88752527074159
,,,,3.73,Lipids,yarrowia,1.92,0.283301229,0.652325186,0.941106310946432
,,,,4.2,Lipids,yarrowia,2.42,0.383815366,0.88376754,1.27500704749987
,,,,6.5,Lipids,yarrowia,3.91,0.592176757,1.363537374,1.96716860753263
,,,,0.0584,Lipids,yarrowia,1.57,0.195899652,0.451075619,0.650764559116902
,,,,0.1643,Lipids,yarrowia,5.8,0.763427994,1.757857918,2.53605290024021
,,,,0.5636,Lipids,yarrowia,1.4,0.146128036,0.336472237,0.485426827170242
,,,,0.8,Lipids,yarrowia,5.795,0.76305344,1.756995477,2.53480866123175
,,,,2.7,Lipids,yarrowia,0.952,-0.021363052,-0.049190244,-0.0709665213541436
,,,,4.3,Lipids,yarrowia,7,0.84509804,1.945910149,2.8073549220576
,,,,5,Lipids,yarrowia,7.3,0.86332286,1.987874348,2.86789646399266
,,,,0.27,Lipids,yarrowia,8.9,0.949390007,2.186051277,3.15380533607904
,,,,0.404,Lipids,yarrowia,11.3,1.053078443,2.424802726,3.49825086752783
,,,,13.2,Lipids,yarrowia,9.3,0.968482949,2.2300144,3.21723071622067
,,,,44.25,Lipids,yarrowia,14.5,1.161368002,2.674148649,3.85798099512757
,,,,35.29,Lipids,yarrowia,17.7,1.247973266,2.87356464,4.14567745519564
,,,,1.4772,Lipids,yarrowia,7.8,0.892094603,2.054123734,2.96347412397489
